SEP=,
item.palamod.halloween_hoe,Halloween Houe,Halloween Hoe
block.palamod.water_fence_gate,Birch Water Fence Gate,Birch Water Fence Gate
item.palamod.order_boots,Order Boot,Order Boot
item.palamod.capture_stone_full_mooshroom.description_0,Entity = Iron Golem,Entity = Iron Golem
item.palamod.lore_categorie,Lore Categorie,Lore Categorie
block.palamod.palastrange_ore,Minerai de Palastrange,Palastrange Ore
item.palamod.capture_stone_empty,Capture Stone Empty,Capture Stone Empty
item.palamod.socket,Socket,Socket
item.palamod.re_fuzay_disk,Disque de musique,Music Disc
item.palamod.symbiotic_armor,Symbiotic Armor,Symbiotic Armor
block.palamod.water_fence,Birch Water Fence,Birch Water Fence
item.palamod.green_paladium_sword,Green Paladium Sword,Green Paladium Sword
item.palamod.compressed_paladium,Compressed Paladium,Compressed Paladium
item.palamod.wither_skull_fragment,Wither Skull Fragment,Wither Skull Fragment
item.palamod.paladium_trim_9_boots.description_0,Wayfinder Armor Trim,Wayfinder Armor Trim
item.palamod.broadsword_pattern,Broadsword Pattern,Broadsword Pattern
block.palamod.slimepad,Slimepad,Slimepad
block.palamod.amethyst_chest,Coffre de Améthyste,Amethyst Chest
item.palamod.green_paladium_ingot,Green Paladium Ingot,Green Paladium Ingot
block.palamod.mega_safe_chest,Coffre de Mega Safe,Mega Safe Chest
painting.palamod.the_sun_falls.title,The Sun Falls,The Sun Falls
item.palamod.spacefood,Spacefood,Spacefood
painting.palamod.the_nether.author,Paladium,Paladium
item.palamod.skeleton_boots,Skeleton Boot,Skeleton Boot
gui.palamod.paladium_chest_gui.label_paladium_chest,Coffre de Paladium,Paladium Chest
item.palamod.purifite_imperfect,Purifite Imperfect,Purifite Imperfect
entity.minecraft.villager.palamod.trixiar,Trixiar,Trixiar
block.palamod.deepslate_trixium_ore,Minerai de Deepslate Trixium,Deepslate Trixium Ore
gui.palamod.endium_chest_gui.label_paladium_chest,Coffre de Endium,Endium Chest
item.palamod.capture_stone_full_chicken,Capture Stone Full,Capture Stone Full
item.palamod.christmas_musicoriginal,Disque de musique,Music Disc
item.palamod.pickaxe_of_the_god,Pioche Of The God,Pickaxe Of The God
item.palamod.present,Present,Present
item.palamod.infinity_gauntlet,Infinity Gauntlet,Infinity Gauntlet
item.palamod.corruptedsword,CORRUPTED.SWORD,CORRUPTED.SWORD
block.palamod.boom_obsidian,Boom Obsidian,Boom Obsidian
block.palamod.palamachine,Palamachine,Palamachine
item.palamod.tournament_red_chestplate,Plastron d'Tournament Red,Tournament Red Chestplate
item.palamod.guardian_stone_ame.description_0,A contained soul,A contained soul
gui.palamod.paladium_book_gui.label_original_please_note,original please note,original please note
item.palamod.endium_pollen,Endium Pollen,Endium Pollen
item.palamod.parrot_feather,Parrot Feather,Parrot Feather
item.palamod.amethyst_helmet,Casque d'Améthyste,Amethyst Helmet
painting.palamod.the_purpul_butterfly.author,Paladium,Paladium
block.palamod.black_lucky_block,Black Lucky Block,Black Lucky Block
item.palamod.palapple,Palapple,Palapple
painting.palamod.the_golem.author,Paladium,Paladium
item.palamod.paladium_trim_5_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.paladium_trim_8_leggings.description_0,Ward Armor Trim,Ward Armor Trim
enchantment.palamod.unclaim_helmet,Casque d'Unclaim,Unclaim Helmet
item.palamod.paladium_trim_8_boots,Paladium Boot,Paladium Boot
item.palamod.gold_particle,Gold Particle,Gold Particle
item.palamod.speed_apple,Speed Apple,Speed Apple
item.palamod.arty_head_helmet,Arty Head,Arty Head
item.palamod.capture_stone_full_pig.description_0,Entity = Pig,Entity = Pig
item.palamod.legendary_stone_teleportation,Legendary Stone Tp,Legendary Stone Tp
advancements.welcometo_paladium.title,Palapass,Palapass
item.palamod.pickaxe_pattern,Pioche Pattern,Pickaxe Pattern
item.palamod.endium_mixed_boots,Mixed Endium Boot,Mixed Endium Boot
item.palamod.clash_kumiz,Disque de musique,Music Disc
item.palamod.fake_endium_leggings,Jambières de Fake Endium,Fake Endium Leggings
item.palamod.legendary_stone_fortune.description_0,Click and get more luck and mine faster,Click and get more luck and mine faster
item.palamod.toolscategorie,Tools categorie,Tools categorie
painting.palamod.the_forest.author,Paladium,Paladium
item.palamod.chervil_seed,Chervil Seed,Chervil Seed
item.palamod.paladium_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.ingot_pattern,Ingot Pattern,Ingot Pattern
item.palamod.corrupted_ticket,Corrupted Ticket,Corrupted Ticket
item.palamod.fallen_sword,Fallen Sword,Fallen Sword
item.palamod.corrupted_steel_plate,Corrupted Steel Plate,Corrupted Steel Plate
item.palamod.paladium_trim_5_chestplate.description_0,Silence Armor Trim,Silence Armor Trim
entity.palamod.corrupted_skeleton,Corrupted Skeleton,Corrupted Skeleton
gui.palamod.paladium_book_gui.label_some_things_change,some things change in,some things change in
item.palamod.corrupted_slime_spawn_egg,Corrupted Slime Spawn Egg,Corrupted Slime Spawn Egg
gui.palamod.paladium_book_gui.label_we_wish_you_a_very_good_game,We wish you a very,We wish you a very
item.palamod.amethyst_axe,Améthyste Axe,Amethyst Axe
block.palamod.grinder_block,Broyeur Block,Grinder Block
item.palamod.paladium_trim_9_chestplate,Plastron d'Paladium,Paladium Chestplate
item.palamod.kiwano,Kiwano,Kiwano
item.palamod.capture_stone_full_wolf,Capture Stone Full,Capture Stone Full
item.palamod.christmas_chestplate,Plastron d'Christmas,Christmas Chestplate
item.palamod.halloween_sword,Halloween Sword,Halloween Sword
item.palamod.invisible_chestplate,Plastron d'Invisible,Invisible Chestplate
item.palamod.corrupted_powder,Corrupted Powder,Corrupted Powder
gui.palamod.present_2.label_present,Present,Present
block.palamod.ostrya_stairs,Ostrya Escaliers,Ostrya Stairs
block.palamod.judeercercis_slab,Judeecercis Slab,Judeecercis Slab
item_group.palamod.christmasui,§bChristmas,§bChristmas
item.palamod.paladium_trim_2_chestplate,Plastron d'Paladium,Paladium Chestplate
block.palamod.paladium_block,Paladium Block,Paladium Block
item.palamod.paladium_trim_4_helmet.description_0,Raiser Armor Trim,Raiser Armor Trim
block.palamod.judeercercis_fence_gate,Judeecercis Fence Gate,Judeecercis Fence Gate
item.palamod.amethyst_hammer,Améthyste Marteau,Amethyst Hammer
item.palamod.capture_stone_full_arty.description_0,Entity = Arty,Entity = Arty
item.palamod.paladium_hoe,Paladium Houe,Paladium Hoe
block.palamod.totem_of_flowery,Totem Of Flowery,Totem Of Flowery
item.palamod.endium_dynamite,Endium Dynamite,Endium Dynamite
item.palamod.endium_helmet,Casque d'Endium,Endium Helmet
block.palamod.ostrya_button,Bouton de Ostrya,Ostrya Button
block.palamod.custom_lightgray_wool,Custom Lightgray Wool,Custom Lightgray Wool
item.palamod.red_palabot_spawn_egg,RED Palabot Spawn Egg,RED Palabot Spawn Egg
item.palamod.titane_helmet,Titane helmet,Titane helmet
item.palamod.hood_helmet,Casque d'Hood,Hood Helmet
item.palamod.endium_hoe,Endium Houe,Endium Hoe
item.palamod.paladium_trim_4_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.star_helmet_helmet,Casque d'Star,Star Helmet
item.palamod.fallen_shovel,Fallen Shovel,Fallen Shovel
item.palamod.spraygun,Spray Gun,Spray Gun
gui.palamod.green_paladium_chest_gui.label_paladium_chest,Coffre de Paladium,Paladium Chest
item.palamod.corruptedlegendarystone,CORRUPTED.LEGENDARY.STONE,CORRUPTED.LEGENDARY.STONE
item.palamod.amethyst_leggings,Jambières de Améthyste,Amethyst Leggings
item.palamod.knockback_orb,Knockback Orb,Knockback Orb
item.palamod.slimy_helmet,Casque d'Slimy,Slimy Helmet
painting.palamod.palamod_recreated.author,SILWOX,SILWOX
item.palamod.paladium_trim_8_boots.description_0,Ward Armor Trim,Ward Armor Trim
block.palamod.custom_pink_wool,Custom Pink Wool,Custom Pink Wool
item.palamod.guardian_golem_spawn_egg,Guardian Golem Spawn Egg,Guardian Golem Spawn Egg
item.palamod.paladium_sword,Paladium Sword,Paladium Sword
item.palamod.fake_endium_boots,Fake Endium Boot,Fake Endium Boot
item.palamod.mii_chalenge.desc,Paladium - Mii Challenge,Paladium - Mii Challenge
gui.palamod.grinder_block_gui.label_bnbtnumberpaladium,<BNBT:number/...:paladium>,<BNBT:number/...:paladium>
item.palamod.fallen_pickaxe,Fallen Pioche,Fallen Pickaxe
item.palamod.infernal_knocker,Infernal Knocker,Infernal Knocker
item.palamod.order_chestplate,Plastron d'Order,Order Chestplate
item.palamod.paladium_trim_8_helmet.description_0,Ward Armor Trim,Ward Armor Trim
item.palamod.amethyst_shovel,Améthyste Shovel,Amethyst Shovel
item.palamod.paladium_core,Paladium Core,Paladium Core
item.palamod.roulette_pala.desc,La rouette paladienne de Fuze en musique,La rouette paladienne de Fuze en musique
block.palamod.erable_planks,Erable Planks,Erable Planks
gui.palamod.order_vs_chaos_gui.button_order,Order,Order
item.palamod.paladium_go_disk.desc,Paladium GO,Paladium GO
gui.palamod.online_detector_gui.label_online_detector,Online Detector,Online Detector
gui.palamod.back_pack_endium.label_backpack,Endium BackPack,Endium BackPack
item.palamod.chocolat_milk,Chocolat Milk,Chocolat Milk
item.palamod.blue_palabot_spawn_egg,BLUE Palabot Spawn Egg,BLUE Palabot Spawn Egg
item_group.palamod.beta_blocks_items,§cDev/Beta : Blocks - Items,§cDev/Beta : Blocks - Items
block.palamod.chervil_seed_stage_1,Chervil Seed,Chervil Seed
item.palamod.marinated_steak,Marinated Steak,Marinated Steak
gui.palamod.grinder_block_gui.label_craft,CRAFT,CRAFT
block.palamod.chervil_seed_stage_3,Chervil Seed,Chervil Seed
gui.palamod.crusher_gui.label_crusher,Crusher,Crusher
block.palamod.chervil_seed_stage_2,Chervil Seed,Chervil Seed
block.palamod.judeercercis_leaves,Judeecercis Feuilles,Judeecercis Leaves
block.palamod.paladium_lucky_block,Paladium Lucky Block,Paladium Lucky Block
item.palamod.corrupted_parasite,Corrupted Parasite,Corrupted Parasite
block.palamod.obsidian_door,Obsidian Door,Obsidian Door
item.palamod.chaos_helmet,Casque d'Chaos,Chaos Helmet
block.palamod.jacaranda_leaves,Jacaranda Feuilles,Jacaranda Leaves
block.palamod.chervil_seed_stage_4,Chervil Seed,Chervil Seed
gui.palamod.grinder_block_gui.label_melt_tools,MELT - TOOLS,MELT - TOOLS
block.palamod.deepslate_endium_ore,Minerai de Deepslate Endium,Deepslate Endium Ore
item.palamod.halloween_music_disk.desc,Halloween Music,Halloween Music
item.palamod.titane_stick,Titane Stick,Titane Stick
block.palamod.amethyst_ore,Minerai de Améthyste,Amethyst Ore
entity.palamod.corrupted_zombie,Corrupted Zombie,Corrupted Zombie
gui.palamod.present_1.label_present,Present,Present
gui.palamod.grinder_block_gui.button_craft,Ok,Ok
painting.palamod.the_sunset.author,Paladium,Paladium
item.palamod.stick_of_god,Stick Of God,Stick Of God
block.palamod.custom_black_wool,Custom Black Wool,Custom Black Wool
item.palamod.paladium_hat_helmet,Paladium Hat,Paladium Hat
item.palamod.skeleton_helmet,Casque d'Skeleton,Skeleton Helmet
block.palamod.endium_lucky_block,Endium Lucky Block,Endium Lucky Block
item.palamod.paladium_pickaxe,Paladium Pioche,Paladium Pickaxe
item.palamod.christmas_stone,Christmas Stone,Christmas Stone
block.palamod.crusher,Crusher,Crusher
block.palamod.custom_red_wool,Custom Red Wool,Custom Red Wool
item.palamod.endium_fragment,Endium Fragment,Endium Fragment
item.palamod.capture_stone_full_chicken.description_0,Entity = Chicken,Entity = Chicken
block.palamod.erable_sappling,Erable Sappling,Erable Sappling
item.palamod.multicolort_gift.description_1,But what's inside?,But what's inside?
painting.palamod.beauty_field.author,Paladium,Paladium
item.palamod.multicolort_gift.description_0,Open a mystery gift.,Open a mystery gift.
item.palamod.itemcategorie,Item categorie,Item categorie
block.palamod.jacaranda_fence,Jacaranda Fence,Jacaranda Fence
item.palamod.capture_stone_full_sheep.description_0,Entity = Sheep,Entity = Sheep
painting.palamod.palamod_recreated.title,Palamod Recreated,Palamod Recreated
gui.palamod.paladium_book_gui.label_silwox,- SILWOX,- SILWOX
item.palamod.paladium_head_broadsword,Paladium Head Broadsword,Paladium Head Broadsword
block.palamod.lucky_block_categorie,Lucky Block Categorie,Lucky Block Categorie
subtitles.kumiz,Clash Kumiz Fuze III,Clash Kumiz Fuze III
biome.palamod.judeercercis,Judeecercis,Judeecercis
block.palamod.titane_anvil,Titane Anvil,Titane Anvil
item.palamod.amethyst_stick,Améthyste Stick,Amethyst Stick
block.palamod.invoker_ore,Minerai de Invoker,Invoker Ore
block.palamod.jacaranda_wood,Jacaranda Wood,Jacaranda Wood
item.palamod.paladium_trim_2_boots.description_0,Coast Armor Trim,Coast Armor Trim
subtitles.halloween_sound,Halloween Music,Halloween Music
item.palamod.hammer_pattern,Marteau Pattern,Hammer Pattern
item.palamod.speed_orb,Speed Orb,Speed Orb
item.palamod.lucky_sword,Luckium Sword,Luckium Sword
block.palamod.jacaranda_fence_gate,Jacaranda Fence Gate,Jacaranda Fence Gate
block.palamod.grinder_casing_block,Broyeur Casing Block,Grinder Casing Block
item.palamod.lightning_potion,Lightning Potion,Lightning Potion
block.palamod.jacaranda_sappling,Jacaranda Sappling,Jacaranda Sappling
item.palamod.paladium_trim_2_boots,Paladium Boot,Paladium Boot
block.palamod.fertilized_dirt,Fertilized Dirt,Fertilized Dirt
block.palamod.infested_web,Infested Web,Infested Web
item.palamod.purifite_perfect,Purifite Perfect,Purifite Perfect
item.palamod.purifite_normal,Purifite Normal,Purifite Normal
block.palamod.blue_slimepad,Blue Slimepad,Blue Slimepad
block.palamod.amethyst_anvil,Améthyste Anvil,Amethyst Anvil
block.palamod.erable_leaves,Erable Feuilles,Erable Leaves
item.palamod.corrupted_skull,Corrupted Skull,Corrupted Skull
block.palamod.frozen_obsidian,Frozen Obsidian,Frozen Obsidian
item.palamod.guardian_stone_ame,Guardian Stone,Guardian Stone
item.palamod.moon_boot_boots,Moon Boot,Moon Boot
item.palamod.hang_glider,Hang Glider,Hang Glider
block.palamod.jacaranda_stairs,Jacaranda Escaliers,Jacaranda Stairs
block.palamod.eggplant_seed_stage,Eggplant Seed,Eggplant Seed
death.attack.corruption_damage.item,%1$s was killed by %2$s using %3$s,%1$s was killed by %2$s using %3$s
block.palamod.custom_gray_wool,Custom Gray Wool,Custom Gray Wool
item.palamod.paladium_trim_5_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.paladium_trim_9_helmet,Casque d'Paladium,Paladium Helmet
block.palamod.green_paladium_ore,Minerai de Green Paladium,Green Paladium Ore
item.palamod.capture_stone_full_snow_golem.description_0,Entity = Snow Golem,Entity = Snow Golem
item.palamod.paladium_trim_10_chestplate.description_0,Wild Armor Trim,Wild Armor Trim
subtitles.best_sound,Paladium Best Sound,Paladium Best Sound
item.palamod.amethyst_boots,Améthyste Boot,Amethyst Boot
item.palamod.endium_fishing_rod,Endium Fishing Rod,Endium Fishing Rod
gui.palamod.grinder_block_gui.label_melt_paladium,MELT - PALADIUM,MELT - PALADIUM
item.palamod.titane_boots,Titane Boot,Titane Boot
item.palamod.chaos_boots,Chaos Boot,Chaos Boot
block.palamod.online_detector_on,Online Detector,Online Detector
effect.palamod.corrupt_immune,Corrupt Immune,Corrupt Immune
item.palamod.cave_helmet_helmet,Casque d'Cave,Cave Helmet
item.minecraft.lingering_potion.effect.corrupted_potion,Lingering Potion of Corruption,Lingering Potion of Corruption
item.palamod.kiwano_seed,Kiwano Seed,Kiwano Seed
item.palamod.paladium_medium_ring,Paladium Medium Ring,Paladium Medium Ring
item.palamod.head_sword,Head Sword,Head Sword
item.palamod.hyper_jump_stick,Hyper Jump Stick,Hyper Jump Stick
item.palamod.pig_boots,Pig Boot,Pig Boot
block.palamod.endium_chest,Coffre de Endium,Endium Chest
item.palamod.pig_leggings,Jambières de Pig,Pig Leggings
block.palamod.hardened_obsidian,Hardened Obsidian,Hardened Obsidian
block.palamod.red_slimepad,Red Slimepad,Red Slimepad
subtitles.anti_fuze,Anti Fuze - Fuze III,Anti Fuze - Fuze III
item.palamod.paladium_trim_1_chestplate,Plastron d'Paladium,Paladium Chestplate
painting.palamod.through_the_stars.title,Through The Stars,Through The Stars
item.palamod.pickaxe_head,Pioche Head,Pickaxe Head
item.palamod.endium_medium_ring,Endium Medium Ring,Endium Medium Ring
block.palamod.deepslate_green_paladium_ore,Minerai de Deepslate Green Paladium,Deepslate Green Paladium Ore
painting.palamod.butterfly_here.title,Butterfly Here,Butterfly Here
item.palamod.paladium_trim_10_helmet.description_0,Wild Armor Trim,Wild Armor Trim
block.palamod.green_paladium_slab,Green Paladium Slab,Green Paladium Slab
fluid.palamod.fake_water,Eau factice,Fake Water
block.palamod.poison_obsidian,Poison Obsidian,Poison Obsidian
item.palamod.chaos_leggings,Jambières de Chaos,Chaos Leggings
item.palamod.paladium_trim_9_boots,Paladium Boot,Paladium Boot
block.palamod.guardian_box_block,Guardian Box Block,Guardian Box Block
item.palamod.legendary_stone_random,Legendary Stone Random,Legendary Stone Random
item.palamod.green_paladium_boots,Green Paladium Boot,Green Paladium Boot
item.palamod.legendary_stone_chaos,Legendary Stone Chaos,Legendary Stone Chaos
item.palamod.paladium_book.description_0,Information Book: click to open,Information Book: click to open
item.palamod.eggplant_seed,Eggplant Seed,Eggplant Seed
item.palamod.orange_unclaim_finder,Orange Unclaim Finder,Orange Unclaim Finder
item.palamod.legendary_stone_power.description_0,"Click and get powerful powers, resistance hearts and more","Click and get powerful powers, resistance hearts and more"
item.palamod.green_paladium_particle,Green Paladium Particle,Green Paladium Particle
item.palamod.diamond_particle,Diamond Particle,Diamond Particle
item.palamod.xp_berry,XP Berry,XP Berry
item.palamod.green_paladium_axe,Green Paladium Axe,Green Paladium Axe
block.palamod.green_paladium_chest,Coffre de Green Paladium,Green Paladium Chest
item.palamod.legendary_stone_invisibility,Legendary Stone Invisibility,Legendary Stone Invisibility
item.palamod.strenght_orb,Strenght Orb,Strenght Orb
item.palamod.invisible_boots,Invisible Boot,Invisible Boot
painting.palamod.beauty_field.title,Beauty Field,Beauty Field
block.palamod.custom_white_wool,Custom White Wool,Custom White Wool
death.attack.corruption_damage.player,%1$s died whilst trying to escape %2$s,%1$s died whilst trying to escape %2$s
block.palamod.jacaranda_pressure_plate,Jacaranda Pressure Plate,Jacaranda Pressure Plate
item.palamod.endium_chestplate,Plastron d'Endium,Endium Chestplate
item.palamod.paladium_trim_10_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.paladium_trim_10_helmet,Casque d'Paladium,Paladium Helmet
item.palamod.fastsword_pattern,Fastsword Pattern,Fastsword Pattern
item.palamod.paladium_trim_9_chestplate.description_0,Wayfinder Armor Trim,Wayfinder Armor Trim
item.palamod.paladium_trim_7_boots,Paladium Boot,Paladium Boot
block.palamod.paladium_anvil,Paladium Anvil,Paladium Anvil
item.palamod.paladium_axe,Paladium Axe,Paladium Axe
item.palamod.wrench,Wrench,Wrench
item.palamod.paladium_trim_10_boots,Paladium Boot,Paladium Boot
item.palamod.endium_back_pack,Endium Back Pack,Endium Back Pack
block.palamod.erable_log,Erable Log,Erable Log
block.palamod.green_paladium_stairs,Green Paladium Escaliers,Green Paladium Stairs
item.palamod.invisible_leggings,Jambières de Invisible,Invisible Leggings
effect.palamod.anti_fake_water,Anti Eau factice,Anti Fake Water
item.palamod.amethyst_particle,Améthyste Particle,Amethyst Particle
block.palamod.judeercercis_pressure_plate,Judeecercis Pressure Plate,Judeecercis Pressure Plate
item.palamod.titane_pollen,Titane Pollen,Titane Pollen
item.palamod.voidstone,Voidstone,Voidstone
item.palamod.compressed_xp_berry,Compressed Xp Berry,Compressed Xp Berry
block.palamod.custom_blue_wool,Custom Blue Wool,Custom Blue Wool
item.palamod.legendary_stone_power,Legendary Stone Power,Legendary Stone Power
item.minecraft.tipped_arrow.effect.corrupted_potion,Arrow of Corruption,Arrow of Corruption
item.palamod.fuze_iii_spawn_egg,Fuze III Spawn Egg,Fuze III Spawn Egg
entity.palamod.guardian_golem,Guardian Golem,Guardian Golem
item.palamod.paladium_best_sound.desc,Paladium - Best Sound,Paladium - Best Sound
item.palamod.unclaim_finder,Unclaim Finder,Unclaim Finder
block.palamod.paladium_flower,Paladium Flower,Paladium Flower
item.palamod.purifite_medium,Purifite Medium,Purifite Medium
gui.palamod.safe_chest_gui.button_chan,Change,Change
subtitles.refuzay,ReFuzay,ReFuzay
block.palamod.kiwano_seed_stage_5,Kiwano Seed,Kiwano Seed
item.palamod.corrupted_skeleton_spawn_egg,Corrupted Skeleton Spawn Egg,Corrupted Skeleton Spawn Egg
block.palamod.kiwano_seed_stage_4,Kiwano Seed,Kiwano Seed
item.palamod.iron_particle,Iron Particle,Iron Particle
item.palamod.paladium_trim_7_leggings,Jambières de Paladium,Paladium Leggings
item.palamod.legendary_stone_invisibility.description_0,Click and you will become invisible,Click and you will become invisible
block.palamod.kiwano_seed_stage_3,Kiwano Seed,Kiwano Seed
block.palamod.kiwano_seed_stage_2,Kiwano Seed,Kiwano Seed
gui.palamod.menu_mod.label_palamod_20251,Palamod - 26.10.2,Palamod - 26.10.2
block.palamod.kiwano_seed_stage_1,Kiwano Seed,Kiwano Seed
gui.palamod.admin_radiogui.button_on_mappel_fuze_iii,On m'appel Fuze III,On m'appel Fuze III
item.palamod.candy,Candy,Candy
item.palamod.capture_stone_full_iron_golem,Capture Stone Full,Capture Stone Full
item.palamod.endium_boots,Endium Boot,Endium Boot
block.palamod.lava_obsidian,Lava Obsidian,Lava Obsidian
item.palamod.money,Money,Money
item.palamod.paladium_trim_5_boots,Paladium Boot,Paladium Boot
item.palamod.speed_apple.description_0,Give you effect speed,Give you effect speed
item.palamod.symbiotic_helmet,Casque d'Symbiotic,Symbiotic Helmet
item.palamod.marinated_chicken,Marinated Chicken,Marinated Chicken
block.palamod.cauldron_block,Cauldron Block,Cauldron Block
item.palamod.paladium_trim_1_boots.description_0,Rib Armor Trim,Rib Armor Trim
gui.palamod.crusher_gui.button_melttt,Ok,Ok
gui.palamod.admin_radiogui.button_stop,STOP,STOP
item.palamod.amethyst_fastsword,Améthyste Fastsword,Amethyst Fastsword
item.palamod.paladium_gold_disk.desc,Gangnam Style,Gangnam Style
block.palamod.custom_orange_wool,Custom Orange Wool,Custom Orange Wool
item.palamod.guardian_stone,Guardian Stone,Guardian Stone
item.palamod.capture_stone_full_wolf.description_0,Entity = Wolf,Entity = Wolf
entity.minecraft.villager.palamod.christmas_villager,Christmas,Christmas
gui.palamod.paladium_book_gui.label_this_mod_is_a_reproduction,This mod is a,This mod is a
item.minecraft.tipped_arrow.effect.anti_fake,Arrow of Anti Fake,Arrow of Anti Fake
item.palamod.paladium_trim_10_boots.description_0,Wild Armor Trim,Wild Armor Trim
item.palamod.paladium_trim_2_leggings.description_0,Coast Armor Trim,Coast Armor Trim
subtitles.roulette_paladienne,La Roulette Paladienne de Fuze III,La Roulette Paladienne de Fuze III
item.palamod.palastrange_ingot,Palastrange Ingot,Palastrange Ingot
block.palamod.corrupted_block,Corrupted Block,Corrupted Block
item.palamod.paladium_particle,Paladium Particle,Paladium Particle
gui.palamod.paladium_book_gui.label_reproduction_of_the,reproduction of the,reproduction of the
item.palamod.voidstone_minage,Voidstone Minage,Voidstone Minage
item.palamod.fake_endium_helmet,Casque d'Fake Endium,Fake Endium Helmet
item.palamod.paladium_trim_4_boots,Paladium Boot,Paladium Boot
gui.palamod.cauldrongui.label_cauldron,Cauldron,Cauldron
item.palamod.endium_gauntlet,Endium Gauntlet,Endium Gauntlet
item.palamod.paladium_trim_6_helmet.description_0,Tide Armor Trim,Tide Armor Trim
block.palamod.water_wood,Birch Water Wood,Birch Water Wood
item.palamod.paladium_hammer,Paladium Marteau,Paladium Hammer
block.palamod.orange_blue_seed_stage_5,Orange Blue Seed,Orange Blue Seed
item.palamod.paladium_gold_disk,Disque de musique,Music Disc
block.palamod.orange_blue_seed_stage_4,Orange Blue Seed,Orange Blue Seed
item.palamod.paladium_trim_4_chestplate,Plastron d'Paladium,Paladium Chestplate
block.palamod.ostrya_planks,Ostrya Planks,Ostrya Planks
block.palamod.orange_blue_seed_stage_1,Orange Blue Seed,Orange Blue Seed
block.palamod.orange_blue_seed_stage_3,Orange Blue,Orange Blue
block.palamod.orange_blue_seed_stage_2,Orange Blue Seed,Orange Blue Seed
item.palamod.paladium_trim_3_boots,Paladium Boot,Paladium Boot
gui.palamod.paladium_book_gui.label_survival_experience,survival experience,survival experience
item.palamod.amethyst_back_pack,Améthyste Back Pack,Amethyst Back Pack
item.palamod.green_paladium_chestplate,Plastron d'Green Paladium,Green Paladium Chestplate
item.palamod.paladium_trim_4_leggings,Jambières de Paladium,Paladium Leggings
painting.palamod.palalogo.title,Palalogo,Palalogo
item.palamod.rainbow_sword,§1R§2a§3i§4n§5b§6o§7w§8 S§9w§ao§br§cd,§1R§2a§3i§4n§5b§6o§7w§8 S§9w§ao§br§cd
effect.palamod.corruption,Corruption,Corruption
item.minecraft.lingering_potion.effect.anti_fake,Lingering Potion of Anti Fake,Lingering Potion of Anti Fake
item.palamod.capture_stone_full_pig,Capture Stone Full,Capture Stone Full
item.palamod.capture_stone_full_cow,Capture Stone Full,Capture Stone Full
block.palamod.jacaranda_slab,Jacaranda Slab,Jacaranda Slab
